speaker,video,success,reason,time_sec,frames,save_path
s17_processed,lwip6n.mpg,True,,4.446,73,data/processed/grid/s17_processed\lwip6n.npy
s17_processed,lwixzn.mpg,True,,1.584,73,data/processed/grid/s17_processed\lwixzn.npy
s17_processed,lwip9a.mpg,True,,4.921,75,data/processed/grid/s17_processed\lwip9a.npy
s17_processed,lwix3a.mpg,True,,2.911,75,data/processed/grid/s17_processed\lwix3a.npy
s17_processed,lwix1s.mpg,True,,4.858,75,data/processed/grid/s17_processed\lwix1s.npy
s17_processed,lwwk5s.mpg,True,,2.660,74,data/processed/grid/s17_processed\lwwk5s.npy
s17_processed,lwix2p.mpg,True,,5.125,74,data/processed/grid/s17_processed\lwix2p.npy
s17_processed,lwwk4n.mpg,True,,3.467,75,data/processed/grid/s17_processed\lwwk4n.npy
s17_processed,lwwe1s.mpg,True,,5.105,74,data/processed/grid/s17_processed\lwwe1s.npy
s17_processed,lwwe2p.mpg,True,,4.394,73,data/processed/grid/s17_processed\lwwe2p.npy
s17_processed,lwwezn.mpg,True,,4.864,72,data/processed/grid/s17_processed\lwwezn.npy
s17_processed,lwwe3a.mpg,True,,5.104,75,data/processed/grid/s17_processed\lwwe3a.npy
s17_processed,lwwr1a.mpg,True,,2.461,74,data/processed/grid/s17_processed\lwwr1a.npy
s17_processed,lwwk6p.mpg,True,,5.162,74,data/processed/grid/s17_processed\lwwk6p.npy
s17_processed,lwwq9s.mpg,True,,3.909,72,data/processed/grid/s17_processed\lwwq9s.npy
s17_processed,lwwk7a.mpg,True,,4.939,75,data/processed/grid/s17_processed\lwwk7a.npy
s17_processed,lwwy3s.mpg,True,,2.500,75,data/processed/grid/s17_processed\lwwy3s.npy
s17_processed,lwwy2n.mpg,True,,2.834,75,data/processed/grid/s17_processed\lwwy2n.npy
s17_processed,lwwq8n.mpg,True,,5.298,74,data/processed/grid/s17_processed\lwwq8n.npy
s17_processed,lwwrzp.mpg,True,,5.631,74,data/processed/grid/s17_processed\lwwrzp.npy
s17_processed,pbaa6p.mpg,True,,3.207,75,data/processed/grid/s17_processed\pbaa6p.npy
s17_processed,lwwy4p.mpg,True,,4.544,74,data/processed/grid/s17_processed\lwwy4p.npy
s17_processed,pbag8n.mpg,True,,2.823,75,data/processed/grid/s17_processed\pbag8n.npy
s17_processed,pbah1a.mpg,True,,2.875,75,data/processed/grid/s17_processed\pbah1a.npy
s17_processed,lwwy5a.mpg,True,,4.419,74,data/processed/grid/s17_processed\lwwy5a.npy
s17_processed,pbaa5s.mpg,True,,4.375,74,data/processed/grid/s17_processed\pbaa5s.npy
s17_processed,pban3s.mpg,True,,1.757,73,data/processed/grid/s17_processed\pban3s.npy
s17_processed,pbaa7a.mpg,True,,4.800,75,data/processed/grid/s17_processed\pbaa7a.npy
s17_processed,pbaa4n.mpg,True,,5.532,75,data/processed/grid/s17_processed\pbaa4n.npy
s17_processed,pbag9s.mpg,True,,4.972,75,data/processed/grid/s17_processed\pbag9s.npy
s17_processed,pbahzp.mpg,True,,5.718,75,data/processed/grid/s17_processed\pbahzp.npy
s17_processed,pban4p.mpg,True,,3.957,75,data/processed/grid/s17_processed\pban4p.npy
s17_processed,pbat6n.mpg,True,,3.548,74,data/processed/grid/s17_processed\pbat6n.npy
s17_processed,pbat9a.mpg,True,,2.619,75,data/processed/grid/s17_processed\pbat9a.npy
s17_processed,pbba8n.mpg,True,,2.435,74,data/processed/grid/s17_processed\pbba8n.npy
s17_processed,pbat7s.mpg,True,,4.185,75,data/processed/grid/s17_processed\pbat7s.npy
s17_processed,pban5a.mpg,True,,5.114,75,data/processed/grid/s17_processed\pban5a.npy
s17_processed,pban2n.mpg,True,,5.361,74,data/processed/grid/s17_processed\pban2n.npy
s17_processed,pbat8p.mpg,True,,4.627,75,data/processed/grid/s17_processed\pbat8p.npy
s17_processed,pbbn6n.mpg,True,,1.988,75,data/processed/grid/s17_processed\pbbn6n.npy
s17_processed,pbbh5a.mpg,True,,2.661,74,data/processed/grid/s17_processed\pbbh5a.npy
s17_processed,pbba9s.mpg,True,,5.234,74,data/processed/grid/s17_processed\pbba9s.npy
s17_processed,pbbb1a.mpg,True,,5.003,74,data/processed/grid/s17_processed\pbbb1a.npy
s17_processed,pbbbzp.mpg,True,,4.345,75,data/processed/grid/s17_processed\pbbbzp.npy
s17_processed,pbbn7s.mpg,True,,3.353,75,data/processed/grid/s17_processed\pbbn7s.npy
s17_processed,pbbh2n.mpg,True,,4.729,74,data/processed/grid/s17_processed\pbbh2n.npy
s17_processed,pbbh4p.mpg,True,,4.352,71,data/processed/grid/s17_processed\pbbh4p.npy
s17_processed,pbbh3s.mpg,True,,4.686,74,data/processed/grid/s17_processed\pbbh3s.npy
s17_processed,pbbn8p.mpg,True,,4.488,73,data/processed/grid/s17_processed\pbbn8p.npy
s17_processed,pbbn9a.mpg,True,,4.487,74,data/processed/grid/s17_processed\pbbn9a.npy
s17_processed,pbbu2p.mpg,True,,3.593,74,data/processed/grid/s17_processed\pbbu2p.npy
s17_processed,pbbu1s.mpg,True,,4.407,75,data/processed/grid/s17_processed\pbbu1s.npy
s17_processed,pbbuzn.mpg,True,,3.663,75,data/processed/grid/s17_processed\pbbuzn.npy
s17_processed,pbbu3a.mpg,True,,4.727,75,data/processed/grid/s17_processed\pbbu3a.npy
s17_processed,pbia3a.mpg,True,,3.880,74,data/processed/grid/s17_processed\pbia3a.npy
s17_processed,pbig5s.mpg,True,,2.823,75,data/processed/grid/s17_processed\pbig5s.npy
s17_processed,pbig4n.mpg,True,,3.774,75,data/processed/grid/s17_processed\pbig4n.npy
s17_processed,pbia1s.mpg,True,,4.743,75,data/processed/grid/s17_processed\pbia1s.npy
s17_processed,pbia2p.mpg,True,,4.488,73,data/processed/grid/s17_processed\pbia2p.npy
s17_processed,pbiazn.mpg,True,,4.883,75,data/processed/grid/s17_processed\pbiazn.npy
s17_processed,pbit2n.mpg,True,,1.970,74,data/processed/grid/s17_processed\pbit2n.npy
s17_processed,pbig6p.mpg,True,,4.386,75,data/processed/grid/s17_processed\pbig6p.npy
s17_processed,pbim9s.mpg,True,,3.882,72,data/processed/grid/s17_processed\pbim9s.npy
s17_processed,pbig7a.mpg,True,,4.954,75,data/processed/grid/s17_processed\pbig7a.npy
s17_processed,pbit5a.mpg,True,,2.689,74,data/processed/grid/s17_processed\pbit5a.npy
s17_processed,pbwb2n.mpg,True,,2.764,74,data/processed/grid/s17_processed\pbwb2n.npy
s17_processed,pbin1a.mpg,True,,4.328,75,data/processed/grid/s17_processed\pbin1a.npy
s17_processed,pbim8n.mpg,True,,5.059,75,data/processed/grid/s17_processed\pbim8n.npy
s17_processed,pbinzp.mpg,True,,5.016,75,data/processed/grid/s17_processed\pbinzp.npy
s17_processed,pbit3s.mpg,True,,4.945,75,data/processed/grid/s17_processed\pbit3s.npy
s17_processed,pbit4p.mpg,True,,5.233,74,data/processed/grid/s17_processed\pbit4p.npy
s17_processed,pbwb3s.mpg,True,,4.293,75,data/processed/grid/s17_processed\pbwb3s.npy
s17_processed,pbwb4p.mpg,True,,4.278,74,data/processed/grid/s17_processed\pbwb4p.npy
s17_processed,pbwb5a.mpg,True,,4.328,75,data/processed/grid/s17_processed\pbwb5a.npy
s17_processed,pbwo3a.mpg,True,,2.134,75,data/processed/grid/s17_processed\pbwo3a.npy
s17_processed,pbwh8p.mpg,True,,4.099,75,data/processed/grid/s17_processed\pbwh8p.npy
s17_processed,pbwh6n.mpg,True,,4.773,75,data/processed/grid/s17_processed\pbwh6n.npy
s17_processed,pbwh7s.mpg,True,,4.848,75,data/processed/grid/s17_processed\pbwh7s.npy
s17_processed,pbwo2p.mpg,True,,3.886,75,data/processed/grid/s17_processed\pbwo2p.npy
s17_processed,pbwo1s.mpg,True,,5.168,75,data/processed/grid/s17_processed\pbwo1s.npy
s17_processed,pbwh9a.mpg,True,,5.333,75,data/processed/grid/s17_processed\pbwh9a.npy
s17_processed,pbwu5s.mpg,True,,2.941,75,data/processed/grid/s17_processed\pbwu5s.npy
s17_processed,pbwu4n.mpg,True,,3.089,74,data/processed/grid/s17_processed\pbwu4n.npy
s17_processed,pbwozn.mpg,True,,4.746,75,data/processed/grid/s17_processed\pbwozn.npy
s17_processed,pbwu6p.mpg,True,,5.038,74,data/processed/grid/s17_processed\pbwu6p.npy
s17_processed,pgai6n.mpg,True,,3.020,75,data/processed/grid/s17_processed\pgai6n.npy
s17_processed,pbwu7a.mpg,True,,4.810,75,data/processed/grid/s17_processed\pbwu7a.npy
s17_processed,pgai9a.mpg,True,,2.840,75,data/processed/grid/s17_processed\pgai9a.npy
s17_processed,pgai8p.mpg,True,,3.048,75,data/processed/grid/s17_processed\pgai8p.npy
s17_processed,pgac3s.mpg,True,,4.476,75,data/processed/grid/s17_processed\pgac3s.npy
s17_processed,pgac2n.mpg,True,,4.821,74,data/processed/grid/s17_processed\pgac2n.npy
s17_processed,pgac4p.mpg,True,,4.769,75,data/processed/grid/s17_processed\pgac4p.npy
s17_processed,pgac5a.mpg,True,,3.917,75,data/processed/grid/s17_processed\pgac5a.npy
s17_processed,pgai7s.mpg,True,,4.151,75,data/processed/grid/s17_processed\pgai7s.npy
s17_processed,pgap1s.mpg,True,,4.403,75,data/processed/grid/s17_processed\pgap1s.npy
s17_processed,pgbc6n.mpg,True,,2.285,74,data/processed/grid/s17_processed\pgbc6n.npy
s17_processed,pgav6p.mpg,True,,3.746,75,data/processed/grid/s17_processed\pgav6p.npy
s17_processed,pgav5s.mpg,True,,4.256,75,data/processed/grid/s17_processed\pgav5s.npy
s17_processed,pgapzn.mpg,True,,4.516,74,data/processed/grid/s17_processed\pgapzn.npy
s17_processed,pgap2p.mpg,True,,4.555,74,data/processed/grid/s17_processed\pgap2p.npy
s17_processed,pgbc7s.mpg,True,,3.888,74,data/processed/grid/s17_processed\pgbc7s.npy
s17_processed,pgap3a.mpg,True,,5.040,74,data/processed/grid/s17_processed\pgap3a.npy
s17_processed,pgav7a.mpg,True,,4.588,75,data/processed/grid/s17_processed\pgav7a.npy
s17_processed,pgav4n.mpg,True,,5.122,74,data/processed/grid/s17_processed\pgav4n.npy
s17_processed,pgbj1s.mpg,True,,3.309,73,data/processed/grid/s17_processed\pgbj1s.npy
s17_processed,pgbc8p.mpg,True,,5.366,75,data/processed/grid/s17_processed\pgbc8p.npy
s17_processed,pgbj2p.mpg,True,,2.706,75,data/processed/grid/s17_processed\pgbj2p.npy
s17_processed,pgbc9a.mpg,True,,5.227,74,data/processed/grid/s17_processed\pgbc9a.npy
s17_processed,pgbj3a.mpg,True,,3.770,75,data/processed/grid/s17_processed\pgbj3a.npy
s17_processed,pgbv8n.mpg,True,,3.021,75,data/processed/grid/s17_processed\pgbv8n.npy
s17_processed,pgbp7a.mpg,True,,3.500,75,data/processed/grid/s17_processed\pgbp7a.npy
s17_processed,pgbp6p.mpg,True,,3.753,74,data/processed/grid/s17_processed\pgbp6p.npy
s17_processed,pgbjzn.mpg,True,,4.271,72,data/processed/grid/s17_processed\pgbjzn.npy
s17_processed,pgbp4n.mpg,True,,4.634,72,data/processed/grid/s17_processed\pgbp4n.npy
s17_processed,pgbp5s.mpg,True,,4.984,75,data/processed/grid/s17_processed\pgbp5s.npy
s17_processed,pgii2n.mpg,True,,1.688,75,data/processed/grid/s17_processed\pgii2n.npy
s17_processed,pgbv9s.mpg,True,,4.578,75,data/processed/grid/s17_processed\pgbv9s.npy
s17_processed,pgbxzp.mpg,True,,4.185,72,data/processed/grid/s17_processed\pgbxzp.npy
s17_processed,pgbx1a.mpg,True,,5.382,74,data/processed/grid/s17_processed\pgbx1a.npy
s17_processed,pgic1a.mpg,True,,3.729,73,data/processed/grid/s17_processed\pgic1a.npy
s17_processed,pgib8n.mpg,True,,4.060,74,data/processed/grid/s17_processed\pgib8n.npy
s17_processed,pgib9s.mpg,True,,4.396,75,data/processed/grid/s17_processed\pgib9s.npy
s17_processed,pgii3s.mpg,True,,4.360,75,data/processed/grid/s17_processed\pgii3s.npy
s17_processed,pgiczp.mpg,True,,4.530,75,data/processed/grid/s17_processed\pgiczp.npy
s17_processed,pgii4p.mpg,True,,4.555,74,data/processed/grid/s17_processed\pgii4p.npy
s17_processed,pgii5a.mpg,True,,4.238,74,data/processed/grid/s17_processed\pgii5a.npy
s17_processed,pgio7s.mpg,True,,4.348,75,data/processed/grid/s17_processed\pgio7s.npy
s17_processed,pgio8p.mpg,True,,4.395,75,data/processed/grid/s17_processed\pgio8p.npy
s17_processed,pgio6n.mpg,True,,5.019,75,data/processed/grid/s17_processed\pgio6n.npy
s17_processed,pgio9a.mpg,True,,3.522,75,data/processed/grid/s17_processed\pgio9a.npy
s17_processed,pgiv1s.mpg,True,,4.170,75,data/processed/grid/s17_processed\pgiv1s.npy
s17_processed,pgwd1s.mpg,True,,3.259,73,data/processed/grid/s17_processed\pgwd1s.npy
s17_processed,pgiv3a.mpg,True,,4.118,75,data/processed/grid/s17_processed\pgiv3a.npy
s17_processed,pgivzn.mpg,True,,3.729,74,data/processed/grid/s17_processed\pgivzn.npy
s17_processed,pgwj4n.mpg,True,,1.655,73,data/processed/grid/s17_processed\pgwj4n.npy
s17_processed,pgiv2p.mpg,True,,5.197,73,data/processed/grid/s17_processed\pgiv2p.npy
s17_processed,pgwd2p.mpg,True,,4.039,74,data/processed/grid/s17_processed\pgwd2p.npy
s17_processed,pgwd3a.mpg,True,,4.723,74,data/processed/grid/s17_processed\pgwd3a.npy
s17_processed,pgwdzn.mpg,True,,4.389,73,data/processed/grid/s17_processed\pgwdzn.npy
s17_processed,pgwj5s.mpg,True,,4.930,75,data/processed/grid/s17_processed\pgwj5s.npy
s17_processed,pgwp8n.mpg,True,,3.902,75,data/processed/grid/s17_processed\pgwp8n.npy
s17_processed,pgwj6p.mpg,True,,5.173,75,data/processed/grid/s17_processed\pgwj6p.npy
s17_processed,pgwx3s.mpg,True,,3.014,75,data/processed/grid/s17_processed\pgwx3s.npy
s17_processed,pgwp9s.mpg,True,,4.116,74,data/processed/grid/s17_processed\pgwp9s.npy
s17_processed,pgwq1a.mpg,True,,4.041,75,data/processed/grid/s17_processed\pgwq1a.npy
s17_processed,pgwqzp.mpg,True,,4.002,75,data/processed/grid/s17_processed\pgwqzp.npy
s17_processed,pgwj7a.mpg,True,,4.891,75,data/processed/grid/s17_processed\pgwj7a.npy
s17_processed,pgwx2n.mpg,True,,4.773,74,data/processed/grid/s17_processed\pgwx2n.npy
s17_processed,prab2p.mpg,True,,2.305,74,data/processed/grid/s17_processed\prab2p.npy
s17_processed,pgwx4p.mpg,True,,4.273,74,data/processed/grid/s17_processed\pgwx4p.npy
s17_processed,prah7a.mpg,True,,1.910,75,data/processed/grid/s17_processed\prah7a.npy
s17_processed,pgwx5a.mpg,True,,4.716,75,data/processed/grid/s17_processed\pgwx5a.npy
s17_processed,prah4n.mpg,True,,3.680,73,data/processed/grid/s17_processed\prah4n.npy
s17_processed,prab1s.mpg,True,,4.243,75,data/processed/grid/s17_processed\prab1s.npy
s17_processed,prabzn.mpg,True,,4.418,75,data/processed/grid/s17_processed\prabzn.npy
s17_processed,prah6p.mpg,True,,4.400,73,data/processed/grid/s17_processed\prah6p.npy
s17_processed,prah5s.mpg,True,,4.552,73,data/processed/grid/s17_processed\prah5s.npy
s17_processed,praozp.mpg,True,,3.004,75,data/processed/grid/s17_processed\praozp.npy
s17_processed,prab3a.mpg,True,,5.424,74,data/processed/grid/s17_processed\prab3a.npy
s17_processed,prao1a.mpg,True,,3.764,75,data/processed/grid/s17_processed\prao1a.npy
s17_processed,pran8n.mpg,True,,4.986,75,data/processed/grid/s17_processed\pran8n.npy
s17_processed,prau3s.mpg,True,,3.061,75,data/processed/grid/s17_processed\prau3s.npy
s17_processed,prbb5s.mpg,True,,2.309,75,data/processed/grid/s17_processed\prbb5s.npy
s17_processed,pran9s.mpg,True,,5.193,74,data/processed/grid/s17_processed\pran9s.npy
s17_processed,prbh9s.mpg,True,,1.893,75,data/processed/grid/s17_processed\prbh9s.npy
s17_processed,prau2n.mpg,True,,4.753,74,data/processed/grid/s17_processed\prau2n.npy
s17_processed,prau4p.mpg,True,,4.463,74,data/processed/grid/s17_processed\prau4p.npy
s17_processed,prbb4n.mpg,True,,4.318,75,data/processed/grid/s17_processed\prbb4n.npy
s17_processed,prau5a.mpg,True,,4.801,75,data/processed/grid/s17_processed\prau5a.npy
s17_processed,prbizp.mpg,True,,2.814,74,data/processed/grid/s17_processed\prbizp.npy
s17_processed,prbb7a.mpg,True,,4.550,74,data/processed/grid/s17_processed\prbb7a.npy
s17_processed,prbh8n.mpg,True,,4.855,72,data/processed/grid/s17_processed\prbh8n.npy
s17_processed,prbb6p.mpg,True,,5.658,74,data/processed/grid/s17_processed\prbb6p.npy
s17_processed,prbo2n.mpg,True,,4.272,73,data/processed/grid/s17_processed\prbo2n.npy
s17_processed,prbu6n.mpg,True,,2.666,74,data/processed/grid/s17_processed\prbu6n.npy
s17_processed,prbi1a.mpg,True,,4.979,74,data/processed/grid/s17_processed\prbi1a.npy
s17_processed,prbo5a.mpg,True,,3.724,75,data/processed/grid/s17_processed\prbo5a.npy
s17_processed,prbu8p.mpg,True,,2.889,71,data/processed/grid/s17_processed\prbu8p.npy
s17_processed,prbo4p.mpg,True,,4.685,75,data/processed/grid/s17_processed\prbo4p.npy
s17_processed,prbu7s.mpg,True,,4.146,75,data/processed/grid/s17_processed\prbu7s.npy
s17_processed,prbo3s.mpg,True,,5.371,74,data/processed/grid/s17_processed\prbo3s.npy
s17_processed,prbu9a.mpg,True,,3.878,74,data/processed/grid/s17_processed\prbu9a.npy
s17_processed,pria8p.mpg,True,,3.404,74,data/processed/grid/s17_processed\pria8p.npy
s17_processed,pria6n.mpg,True,,4.652,75,data/processed/grid/s17_processed\pria6n.npy
s17_processed,prin5s.mpg,True,,2.337,75,data/processed/grid/s17_processed\prin5s.npy
s17_processed,prih1s.mpg,True,,4.343,75,data/processed/grid/s17_processed\prih1s.npy
s17_processed,pria9a.mpg,True,,4.733,75,data/processed/grid/s17_processed\pria9a.npy
s17_processed,prih2p.mpg,True,,4.273,75,data/processed/grid/s17_processed\prih2p.npy
s17_processed,pria7s.mpg,True,,5.559,74,data/processed/grid/s17_processed\pria7s.npy
s17_processed,prih3a.mpg,True,,3.929,74,data/processed/grid/s17_processed\prih3a.npy
s17_processed,prit9s.mpg,True,,2.181,73,data/processed/grid/s17_processed\prit9s.npy
s17_processed,prihzn.mpg,True,,5.061,75,data/processed/grid/s17_processed\prihzn.npy
s17_processed,prin7a.mpg,True,,3.377,74,data/processed/grid/s17_processed\prin7a.npy
s17_processed,prin4n.mpg,True,,5.044,74,data/processed/grid/s17_processed\prin4n.npy
s17_processed,prwc1a.mpg,True,,2.684,75,data/processed/grid/s17_processed\prwc1a.npy
s17_processed,prin6p.mpg,True,,5.634,75,data/processed/grid/s17_processed\prin6p.npy
s17_processed,priu1a.mpg,True,,3.846,73,data/processed/grid/s17_processed\priu1a.npy
s17_processed,prit8n.mpg,True,,4.896,74,data/processed/grid/s17_processed\prit8n.npy
s17_processed,prwi2n.mpg,True,,2.205,75,data/processed/grid/s17_processed\prwi2n.npy
s17_processed,prwb8n.mpg,True,,4.332,74,data/processed/grid/s17_processed\prwb8n.npy
s17_processed,prwb9s.mpg,True,,4.326,73,data/processed/grid/s17_processed\prwb9s.npy
s17_processed,priuzp.mpg,True,,4.502,71,data/processed/grid/s17_processed\priuzp.npy
s17_processed,prwi4p.mpg,True,,3.790,74,data/processed/grid/s17_processed\prwi4p.npy
s17_processed,prwi3s.mpg,True,,4.419,75,data/processed/grid/s17_processed\prwi3s.npy
s17_processed,prwo6n.mpg,True,,3.381,73,data/processed/grid/s17_processed\prwo6n.npy
s17_processed,prwo7s.mpg,True,,3.473,74,data/processed/grid/s17_processed\prwo7s.npy
s17_processed,prwo8p.mpg,True,,3.326,75,data/processed/grid/s17_processed\prwo8p.npy
s17_processed,prwczp.mpg,True,,5.565,74,data/processed/grid/s17_processed\prwczp.npy
s17_processed,prwi5a.mpg,True,,4.821,74,data/processed/grid/s17_processed\prwi5a.npy
s17_processed,prwv2p.mpg,True,,3.995,74,data/processed/grid/s17_processed\prwv2p.npy
s17_processed,prwo9a.mpg,True,,4.895,75,data/processed/grid/s17_processed\prwo9a.npy
s17_processed,prwv3a.mpg,True,,4.431,73,data/processed/grid/s17_processed\prwv3a.npy
s17_processed,prwv1s.mpg,True,,4.749,75,data/processed/grid/s17_processed\prwv1s.npy
s17_processed,pwab9a.mpg,True,,2.004,75,data/processed/grid/s17_processed\pwab9a.npy
s17_processed,pwab6n.mpg,True,,3.643,74,data/processed/grid/s17_processed\pwab6n.npy
s17_processed,prwvzn.mpg,True,,4.384,75,data/processed/grid/s17_processed\prwvzn.npy
s17_processed,pwab8p.mpg,True,,3.671,74,data/processed/grid/s17_processed\pwab8p.npy
s17_processed,pwao6p.mpg,True,,2.557,75,data/processed/grid/s17_processed\pwao6p.npy
s17_processed,pwab7s.mpg,True,,5.484,74,data/processed/grid/s17_processed\pwab7s.npy
s17_processed,pwao4n.mpg,True,,3.085,74,data/processed/grid/s17_processed\pwao4n.npy
s17_processed,pwai3a.mpg,True,,4.106,75,data/processed/grid/s17_processed\pwai3a.npy
s17_processed,pwai1s.mpg,True,,5.366,75,data/processed/grid/s17_processed\pwai1s.npy
s17_processed,pwai2p.mpg,True,,4.818,74,data/processed/grid/s17_processed\pwai2p.npy
s17_processed,pwaizn.mpg,True,,4.086,73,data/processed/grid/s17_processed\pwaizn.npy
s17_processed,pwao5s.mpg,True,,4.676,74,data/processed/grid/s17_processed\pwao5s.npy
s17_processed,pwao7a.mpg,True,,4.383,73,data/processed/grid/s17_processed\pwao7a.npy
s17_processed,pwau8n.mpg,True,,4.439,73,data/processed/grid/s17_processed\pwau8n.npy
s17_processed,pwavzp.mpg,True,,3.105,75,data/processed/grid/s17_processed\pwavzp.npy
s17_processed,pwbc1s.mpg,True,,3.728,74,data/processed/grid/s17_processed\pwbc1s.npy
s17_processed,pwau9s.mpg,True,,5.203,75,data/processed/grid/s17_processed\pwau9s.npy
s17_processed,pwbi5s.mpg,True,,2.619,75,data/processed/grid/s17_processed\pwbi5s.npy
s17_processed,pwav1a.mpg,True,,4.786,75,data/processed/grid/s17_processed\pwav1a.npy
s17_processed,pwbczn.mpg,True,,4.290,74,data/processed/grid/s17_processed\pwbczn.npy
s17_processed,pwbc3a.mpg,True,,4.534,74,data/processed/grid/s17_processed\pwbc3a.npy
s17_processed,pwbi4n.mpg,True,,4.836,74,data/processed/grid/s17_processed\pwbi4n.npy
s17_processed,pwbc2p.mpg,True,,5.268,74,data/processed/grid/s17_processed\pwbc2p.npy
s17_processed,pwbi7a.mpg,True,,3.751,74,data/processed/grid/s17_processed\pwbi7a.npy
s17_processed,pwbi6p.mpg,True,,4.505,75,data/processed/grid/s17_processed\pwbi6p.npy
s17_processed,pwbo8n.mpg,True,,4.236,75,data/processed/grid/s17_processed\pwbo8n.npy
s17_processed,pwib2n.mpg,True,,2.047,74,data/processed/grid/s17_processed\pwib2n.npy
s17_processed,pwbv2n.mpg,True,,4.139,74,data/processed/grid/s17_processed\pwbv2n.npy
s17_processed,pwbv4p.mpg,True,,3.587,75,data/processed/grid/s17_processed\pwbv4p.npy
s17_processed,pwbp1a.mpg,True,,4.817,73,data/processed/grid/s17_processed\pwbp1a.npy
s17_processed,pwbo9s.mpg,True,,5.174,75,data/processed/grid/s17_processed\pwbo9s.npy
s17_processed,pwbv3s.mpg,True,,4.284,75,data/processed/grid/s17_processed\pwbv3s.npy
s17_processed,pwbpzp.mpg,True,,4.899,73,data/processed/grid/s17_processed\pwbpzp.npy
s17_processed,pwbv5a.mpg,True,,4.773,73,data/processed/grid/s17_processed\pwbv5a.npy
s17_processed,pwib4p.mpg,True,,3.910,75,data/processed/grid/s17_processed\pwib4p.npy
s17_processed,pwib3s.mpg,True,,4.324,75,data/processed/grid/s17_processed\pwib3s.npy
